[15:31:23.6568986] [Debug  : LethalMin] AnimatedPikminGhostFrameHold set to 2
[15:31:23.6568986] [Debug  : LethalMin] OverrideGhostTextureTileing set to (1.00, 1.00)
[15:31:23.6568986] [Debug  : LethalMin] OverrideGhostTextureOffset set to (0.00, 0.00)
[15:31:23.6578990] [Debug  : LethalMin] SetGhostColor set to True
[15:31:23.6578990] [Debug  : LethalMin] DisableRegistration set to False
[15:31:23.6578990] [Debug  : LethalMin] SetColorOnSprout set to True
[15:31:23.6578990] [Debug  : LethalMin] UseOverrideSproutGlowColor set to False
[15:31:23.6578990] [Debug  : LethalMin] OverrideSproutGlowColor set to RGBA(1.000, 1.000, 1.000, 1.000)
[15:31:23.6578990] [Debug  : LethalMin] growSpeeds set to System.Collections.Generic.List`1[System.Single]
[15:31:23.6578990] [Debug  : LethalMin] growAttacks set to System.Collections.Generic.List`1[System.Single]
[15:31:23.6578990] [Debug  : LethalMin] growCarryStrengths set to System.Collections.Generic.List`1[System.Int32]
[15:31:23.6588992] [Debug  : LethalMin] GrowSpeedMultiplier set to 1
[15:31:23.6588992] [Debug  : LethalMin] DefaultSpeed set to 1
[15:31:23.6588992] [Debug  : LethalMin] RunningSpeedMultiplier set to 1.5
[15:31:23.6588992] [Debug  : LethalMin] CarryStrength set to 3
[15:31:23.6588992] [Debug  : LethalMin] ThrowForce set to (15.00, 15.00, 15.00)
[15:31:23.6588992] [Debug  : LethalMin] HazardsResistantTo set to System.Collections.Generic.List`1[PikminHazard]
[15:31:23.6588992] [Debug  : LethalMin] ItemDetectionRange set to 5
[15:31:23.6588992] [Debug  : LethalMin] CanLatchOnToObjects set to True
[15:31:23.6588992] [Debug  : LethalMin] CanJumpOntoObjects set to True
[15:31:23.6599521] [Debug  : LethalMin] CanCarryObjects set to True
[15:31:23.6599521] [Debug  : LethalMin] AttackStrength set to 5
[15:31:23.6599521] [Debug  : LethalMin] AttackRate set to 0.5
[15:31:23.6599521] [Debug  : LethalMin] AttackDistance set to 0.5
[15:31:23.6599521] [Debug  : LethalMin] JumpLatchOnRange set to 5
[15:31:23.6599521] [Debug  : LethalMin] DamageDeltUponDeath set to 0
[15:31:23.6599521] [Debug  : LethalMin] DeathDamageRange set to 0
[15:31:23.6599521] [Debug  : LethalMin] DamageDeltUpLanding set to 0
[15:31:23.6599521] [Debug  : LethalMin] ShakeEndurance set to 0.75
[15:31:23.6609506] [Debug  : LethalMin] SpawnsIndoors set to False
[15:31:23.6609506] [Debug  : LethalMin] SpawnsOutdoors set to True
[15:31:23.6609506] [Debug  : LethalMin] SpawnsAsSprout set to True
[15:31:23.6609506] [Debug  : LethalMin] UsesPikminContainer set to False
[15:31:23.6609506] [Debug  : LethalMin] SpawnAfterDay set to -1
[15:31:23.6609506] [Debug  : LethalMin] MoonSpawnMultipliers set to System.Collections.Generic.List`1[System.String]
[15:31:23.6609506] [Debug  : LethalMin] TagSpawnMultipliers set to System.Collections.Generic.List`1[System.String]
[15:31:23.6609506] [Debug  : LethalMin] WeatherSpawnMultipliers set to System.Collections.Generic.List`1[System.String]
[15:31:23.6619507] [Debug  : LethalMin] InstaEnterOnion set to False
[15:31:23.6619507] [Debug  : LethalMin] UsePresetFormatting set to True
[15:31:23.6619507] [Debug  : LethalMin] HelpfulLevel set to 50%
[15:31:23.6619507] [Debug  : LethalMin] ScientificName set to Pikminidae rubrus
[15:31:23.6619507] [Debug  : LethalMin] piklopediaName set to 
[15:31:23.6619507] [Debug  : LethalMin] MaxGroupSpawnSize set to 3
