[17:30:47.3632902] [Info   : LethalMin] Generating config file for Pikmin Type: Ice Pikmin
[17:30:47.3697975] [Debug  : LethalMin] PikminPrimaryColor set to RGBA(0.000, 1.000, 1.000, 1.000)
[17:30:47.3697975] [Debug  : LethalMin] PikminSecondaryColor set to RGBA(0.000, 0.502, 0.502, 1.000)
[17:30:47.3697975] [Debug  : LethalMin] Skipping unsupported field type: PikminIcon (UnityEngine.Sprite)
[17:30:47.3697975] [Debug  : LethalMin] Skipping unsupported field type: AnimatedPikminGhostTexture (UnityEngine.Texture2D[])
[17:30:47.3707970] [Debug  : LethalMin] AnimatedPikminGhostFrameHold set to 2
[17:30:47.3707970] [Debug  : LethalMin] OverrideGhostTextureTileing set to (1.00, 1.00)
[17:30:47.3707970] [Debug  : LethalMin] OverrideGhostTextureOffset set to (0.00, 0.00)
[17:30:47.3707970] [Debug  : LethalMin] SetGhostColor set to True
[17:30:47.3707970] [Debug  : LethalMin] DisableRegistration set to False
[17:30:47.3717982] [Debug  : LethalMin] SetColorOnSprout set to True
[17:30:47.3717982] [Debug  : LethalMin] UseOverrideSproutGlowColor set to False
[17:30:47.3717982] [Debug  : LethalMin] OverrideSproutGlowColor set to RGBA(1.000, 1.000, 1.000, 1.000)
[17:30:47.3717982] [Debug  : LethalMin] growSpeeds set to System.Collections.Generic.List`1[System.Single]
[17:30:47.3717982] [Debug  : LethalMin] growAttacks set to System.Collections.Generic.List`1[System.Single]
[17:30:47.3717982] [Debug  : LethalMin] growCarryStrengths set to System.Collections.Generic.List`1[System.Int32]
[17:30:47.3717982] [Debug  : LethalMin] GrowSpeedMultiplier set to 1
[17:30:47.3727969] [Debug  : LethalMin] DefaultSpeed set to 1
[17:30:47.3727969] [Debug  : LethalMin] RunningSpeedMultiplier set to 1.5
[17:30:47.3727969] [Debug  : LethalMin] CarryStrength set to 3
[17:30:47.3727969] [Debug  : LethalMin] ThrowForce set to (15.00, 15.00, 15.00)
[17:30:47.3727969] [Debug  : LethalMin] HazardsResistantTo set to System.Collections.Generic.List`1[PikminHazard]
[17:30:47.3727969] [Debug  : LethalMin] ItemDetectionRange set to 5
[17:30:47.3737967] [Debug  : LethalMin] CanLatchOnToObjects set to True
[17:30:47.3737967] [Debug  : LethalMin] CanJumpOntoObjects set to True
[17:30:47.3737967] [Debug  : LethalMin] CanCarryObjects set to True
[17:30:47.3737967] [Debug  : LethalMin] AttackStrength set to 0.5
[17:30:47.3737967] [Debug  : LethalMin] AttackRate set to 0.5
[17:30:47.3737967] [Debug  : LethalMin] AttackDistance set to 0.5
[17:30:47.3737967] [Debug  : LethalMin] JumpLatchOnRange set to 5
[17:30:47.3747965] [Debug  : LethalMin] DamageDeltUponDeath set to 0
[17:30:47.3747965] [Debug  : LethalMin] DeathDamageRange set to 0
[17:30:47.3747965] [Debug  : LethalMin] DamageDeltUpLanding set to 0
[17:30:47.3747965] [Debug  : LethalMin] ShakeEndurance set to 0.75
[17:30:47.3747965] [Debug  : LethalMin] SpawnsIndoors set to False
[17:30:47.3747965] [Debug  : LethalMin] SpawnsOutdoors set to True
[17:30:47.3747965] [Debug  : LethalMin] SpawnsAsSprout set to True
[17:30:47.3757970] [Debug  : LethalMin] UsesPikminContainer set to False
[17:30:47.3757970] [Debug  : LethalMin] SpawnAfterDay set to 6
[17:30:47.3757970] [Debug  : LethalMin] MoonSpawnMultipliers set to System.Collections.Generic.List`1[System.String]
[17:30:47.3757970] [Debug  : LethalMin] TagSpawnMultipliers set to System.Collections.Generic.List`1[System.String]
[17:30:47.3757970] [Debug  : LethalMin] WeatherSpawnMultipliers set to System.Collections.Generic.List`1[System.String]
[17:30:47.3757970] [Debug  : LethalMin] InstaEnterOnion set to False
[17:30:47.3767960] [Debug  : LethalMin] UsePresetFormatting set to True
[17:30:47.3767960] [Debug  : LethalMin] HelpfulLevel set to 25%
[17:30:47.3767960] [Debug  : LethalMin] ScientificName set to Pikminidae habiglacius
[17:30:47.3767960] [Debug  : LethalMin] piklopediaName set to 
[17:30:47.3773003] [Debug  : LethalMin] MaxGroupSpawnSize set to 3
[17:30:47.3773003] [Info   : LethalMin] Config file generated for Pikmin Type: Ice Pikmin at BepInEx/BepInEx\config\Pikmin\Ice Pikmin.cfg
[17:30:47.3788135] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Pikmin/Ice Pikmin"
[17:30:47.3798190] [Info   : LethalMin] Added Custom Script: IcePikminAI to PikminAI!
[17:30:47.3808184] [Message: LethalMin] Registered Pikmin Type: Ice Pikmin with ID: 3
[17:30:47.3808184] [Message: LethalMin] Registering Pikmin Type: Purple Pikmin
[17:30:47.3808184] [Info   : LethalMin] Generating config file for Pikmin Type: Purple Pikmin
[17:30:47.3818193] [Debug  : LethalMin] PikminPrimaryColor set to RGBA(0.502, 0.000, 1.000, 1.000)
[17:30:47.3818193] [Debug  : LethalMin] PikminSecondaryColor set to RGBA(0.243, 0.000, 0.502, 1.000)
[17:30:47.3818193] [Debug  : LethalMin] Skipping unsupported field type: PikminIcon (UnityEngine.Sprite)
[17:30:47.3818193] [Debug  : LethalMin] Skipping unsupported field type: AnimatedPikminGhostTexture (UnityEngine.Texture2D[])
[17:30:47.3818193] [Debug  : LethalMin] AnimatedPikminGhostFrameHold set to 2
[17:30:47.3818193] [Debug  : LethalMin] OverrideGhostTextureTileing set to (1.00, 1.00)
[17:30:47.3828170] [Debug  : LethalMin] OverrideGhostTextureOffset set to (0.00, 0.00)
[17:30:47.3828170] [Debug  : LethalMin] SetGhostColor set to True
[17:30:47.3828170] [Debug  : LethalMin] DisableRegistration set to False
[17:30:47.3828170] [Debug  : LethalMin] SetColorOnSprout set to True
[17:30:47.3828170] [Debug  : LethalMin] UseOverrideSproutGlowColor set to False
[17:30:47.3828170] [Debug  : LethalMin] OverrideSproutGlowColor set to RGBA(1.000, 1.000, 1.000, 1.000)
[17:30:47.3828170] [Debug  : LethalMin] growSpeeds set to System.Collections.Generic.List`1[System.Single]
[17:30:47.3828170] [Debug  : LethalMin] growAttacks set to System.Collections.Generic.List`1[System.Single]
[17:30:47.3828170] [Debug  : LethalMin] growCarryStrengths set to System.Collections.Generic.List`1[System.Int32]
[17:30:47.3843203] [Debug  : LethalMin] GrowSpeedMultiplier set to 1
[17:30:47.3843203] [Debug  : LethalMin] DefaultSpeed set to 1
[17:30:47.3843203] [Debug  : LethalMin] RunningSpeedMultiplier set to 1.25
[17:30:47.3843203] [Debug  : LethalMin] CarryStrength set to 30
[17:30:47.3843203] [Debug  : LethalMin] ThrowForce set to (21.00, 21.00, 21.00)
[17:30:47.3843203] [Debug  : LethalMin] HazardsResistantTo set to System.Collections.Generic.List`1[PikminHazard]
[17:30:47.3853253] [Debug  : LethalMin] ItemDetectionRange set to 5
[17:30:47.3853253] [Debug  : LethalMin] CanLatchOnToObjects set to True
[17:30:47.3853253] [Debug  : LethalMin] CanJumpOntoObjects set to True
[17:30:47.3853253] [Debug  : LethalMin] CanCarryObjects set to True
[17:30:47.3853253] [Debug  : LethalMin] AttackStrength set to 1
[17:30:47.3853253] [Debug  : LethalMin] AttackRate set to 0.5
[17:30:47.3853253] [Debug  : LethalMin] AttackDistance set to 0.5
[17:30:47.3853253] [Debug  : LethalMin] JumpLatchOnRange set to 3
[17:30:47.3863242] [Debug  : LethalMin] DamageDeltUponDeath set to 0
[17:30:47.3863242] [Debug  : LethalMin] DeathDamageRange set to 0
[17:30:47.3863242] [Debug  : LethalMin] DamageDeltUpLanding set to 6
[17:30:47.3863242] [Debug  : LethalMin] ShakeEndurance set to 0.75
[17:30:47.3863242] [Debug  : LethalMin] SpawnsIndoors set to True
[17:30:47.3863242] [Debug  : LethalMin] SpawnsOutdoors set to False
[17:30:47.3863242] [Debug  : LethalMin] SpawnsAsSprout set to False
[17:30:47.3873250] [Debug  : LethalMin] UsesPikminContainer set to True
[17:30:47.3873250] [Debug  : LethalMin] SpawnAfterDay set to -1
[17:30:47.3873250] [Debug  : LethalMin] MoonSpawnMultipliers set to System.Collections.Generic.List`1[System.String]
[17:30:47.3873250] [Debug  : LethalMin] TagSpawnMultipliers set to System.Collections.Generic.List`1[System.String]
[17:30:47.3873250] [Debug  : LethalMin] WeatherSpawnMultipliers set to System.Collections.Generic.List`1[System.String]
[17:30:47.3873250] [Debug  : LethalMin] InstaEnterOnion set to False
[17:30:47.3883993] [Debug  : LethalMin] UsePresetFormatting set to True
[17:30:47.3883993] [Debug  : LethalMin] HelpfulLevel set to 70%
[17:30:47.3883993] [Debug  : LethalMin] ScientificName set to Pikminidae yokozunum
[17:30:47.3883993] [Debug  : LethalMin] piklopediaName set to 
[17:30:47.3883993] [Debug  : LethalMin] MaxGroupSpawnSize set to 3
[17:30:47.3883993] [Info   : LethalMin] Config file generated for Pikmin Type: Purple Pikmin at BepInEx/BepInEx\config\Pikmin\Purple Pikmin.cfg
[17:30:47.3903993] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Pikmin/Purple Pikmin"
[17:30:47.3924006] [Info   : LethalMin] Added Custom Script: PurplePikminAI to PikminAI!
[17:30:47.3924006] [Message: LethalMin] Registered Pikmin Type: Purple Pikmin with ID: 4
[17:30:47.3924006] [Message: LethalMin] Registering Pikmin Type: Red Pikmin
[17:30:47.3924006] [Info   : LethalMin] Generating config file for Pikmin Type: Red Pikmin
[17:30:47.3954005] [Debug  : LethalMin] PikminPrimaryColor set to RGBA(1.000, 0.000, 0.000, 1.000)
[17:30:47.3954005] [Debug  : LethalMin] PikminSecondaryColor set to RGBA(0.502, 0.000, 0.000, 1.000)
[17:30:47.3954005] [Debug  : LethalMin] Skipping unsupported field type: PikminIcon (UnityEngine.Sprite)
[17:30:47.3954005] [Debug  : LethalMin] Skipping unsupported field type: AnimatedPikminGhostTexture (UnityEngine.Texture2D[])
[17:30:47.3954005] [Debug  : LethalMin] AnimatedPikminGhostFrameHold set to 2
[17:30:47.3954005] [Debug  : LethalMin] OverrideGhostTextureTileing set to (1.00, 1.00)
[17:30:47.3969040] [Debug  : LethalMin] OverrideGhostTextureOffset set to (0.00, 0.00)
[17:30:47.3969040] [Debug  : LethalMin] SetGhostColor set to True
[17:30:47.3979122] [Debug  : LethalMin] DisableRegistration set to False
[17:30:47.3979122] [Debug  : LethalMin] SetColorOnSprout set to True
[17:30:47.3979122] [Debug  : LethalMin] UseOverrideSproutGlowColor set to False
[17:30:47.3989085] [Debug  : LethalMin] OverrideSproutGlowColor set to RGBA(1.000, 1.000, 1.000, 1.000)
[17:30:47.3989085] [Debug  : LethalMin] growSpeeds set to System.Collections.Generic.List`1[System.Single]
[17:30:47.3989085] [Debug  : LethalMin] growAttacks set to System.Collections.Generic.List`1[System.Single]
[17:30:47.3989085] [Debug  : LethalMin] growCarryStrengths set to System.Collections.Generic.List`1[System.Int32]
[17:30:47.3989085] [Debug  : LethalMin] GrowSpeedMultiplier set to 1
[17:30:47.3999083] [Debug  : LethalMin] DefaultSpeed set to 1
[17:30:47.3999083] [Debug  : LethalMin] RunningSpeedMultiplier set to 1.5
[17:30:47.3999083] [Debug  : LethalMin] CarryStrength set to 3
[17:30:47.3999083] [Debug  : LethalMin] ThrowForce set to (15.00, 15.00, 15.00)
[17:30:47.4009084] [Debug  : LethalMin] HazardsResistantTo set to System.Collections.Generic.List`1[PikminHazard]
[17:30:47.4009084] [Debug  : LethalMin] ItemDetectionRange set to 5
[17:30:47.4019079] [Debug  : LethalMin] CanLatchOnToObjects set to True
[17:30:47.4019079] [Debug  : LethalMin] CanJumpOntoObjects set to True
[17:30:47.4019079] [Debug  : LethalMin] CanCarryObjects set to True
[17:30:47.4019079] [Debug  : LethalMin] AttackStrength set to 5
[17:30:47.4029087] [Debug  : LethalMin] AttackRate set to 0.5
[17:30:47.4029087] [Debug  : LethalMin] AttackDistance set to 0.5
[17:30:47.4029087] [Debug  : LethalMin] JumpLatchOnRange set to 5
[17:30:47.4029087] [Debug  : LethalMin] DamageDeltUponDeath set to 0
[17:30:47.4029087] [Debug  : LethalMin] DeathDamageRange set to 0
[17:30:47.4029087] [Debug  : LethalMin] DamageDeltUpLanding set to 0
[17:30:47.4039088] [Debug  : LethalMin] ShakeEndurance set to 0.75
[17:30:47.4039088] [Debug  : LethalMin] SpawnsIndoors set to False
[17:30:47.4039088] [Debug  : LethalMin] SpawnsOutdoors set to True
[17:30:47.4039088] [Debug  : LethalMin] SpawnsAsSprout set to True
[17:30:47.4039088] [Debug  : LethalMin] UsesPikminContainer set to False
[17:30:47.4039088] [Debug  : LethalMin] SpawnAfterDay set to -1
[17:30:47.4039088] [Debug  : LethalMin] MoonSpawnMultipliers set to System.Collections.Generic.List`1[System.String]
[17:30:47.4049088] [Debug  : LethalMin] TagSpawnMultipliers set to System.Collections.Generic.List`1[System.String]
[17:30:47.4049088] [Debug  : LethalMin] WeatherSpawnMultipliers set to System.Collections.Generic.List`1[System.String]
[17:30:47.4049088] [Debug  : LethalMin] InstaEnterOnion set to False
[17:30:47.4049088] [Debug  : LethalMin] UsePresetFormatting set to True
[17:30:47.4059085] [Debug  : LethalMin] HelpfulLevel set to 50%
[17:30:47.4059085] [Debug  : LethalMin] ScientificName set to Pikminidae rubrus
[17:30:47.4059085] [Debug  : LethalMin] piklopediaName set to 
[17:30:47.4059085] [Debug  : LethalMin] MaxGroupSpawnSize set to 3
