[19:02:42.0500255] [Debug  :ainavt.lc.lethalconfig] Registered config "Matty's Fixes/LethalLib|PremiumScraps/Galvanized square steel"
[19:02:42.0500255] [Debug  :ainavt.lc.lethalconfig] Registered config "Matty's Fixes/LethalLib|PremiumScraps/Job application"
[19:02:42.0500255] [Debug  :ainavt.lc.lethalconfig] Registered config "Matty's Fixes/LethalLib|PremiumScraps/Moogle"
[19:02:42.0500255] [Debug  :ainavt.lc.lethalconfig] Registered config "Matty's Fixes/LethalLib|PremiumScraps/El Gazpacho"
[19:02:42.0510257] [Debug  :ainavt.lc.lethalconfig] Registered config "Matty's Fixes/LethalLib|PremiumScraps/The talking orb"
[19:02:42.0510257] [Debug  :ainavt.lc.lethalconfig] Registered config "Matty's Fixes/LethalLib|PremiumScraps/Bomb"
[19:02:42.0510257] [Debug  :ainavt.lc.lethalconfig] Registered config "Matty's Fixes/LethalLib|PremiumScraps/Controller"
[19:02:42.0510257] [Debug  :ainavt.lc.lethalconfig] Registered config "Matty's Fixes/LethalLib|PremiumScraps/Serpent of Ronka"
[19:02:42.0510257] [Debug  :ainavt.lc.lethalconfig] Registered config "Matty's Fixes/LethalLib|ChillaxScraps/Death Note"
[19:02:42.0510257] [Debug  :ainavt.lc.lethalconfig] Registered config "Matty's Fixes/LethalLib|ChillaxScraps/Boink"
[19:02:42.0510257] [Debug  :ainavt.lc.lethalconfig] Registered config "Matty's Fixes/LethalLib|ChillaxScraps/Eevee"
[19:02:42.0510257] [Debug  :ainavt.lc.lethalconfig] Registered config "Matty's Fixes/LethalLib|ChillaxScraps/Cup Noodle"
[19:02:42.0520255] [Debug  :ainavt.lc.lethalconfig] Registered config "Matty's Fixes/LethalLib|ChillaxScraps/Moai Statue"
[19:02:42.0520255] [Debug  :ainavt.lc.lethalconfig] Registered config "Matty's Fixes/LethalLib|ChillaxScraps/Uno Reverse Card"
[19:02:42.0520255] [Debug  :ainavt.lc.lethalconfig] Registered config "Matty's Fixes/LethalLib|ChillaxScraps/Froggy Chair"
[19:02:42.0520255] [Debug  :ainavt.lc.lethalconfig] Registered config "Matty's Fixes/LethalLib|ChillaxScraps/Emergency meeting"
[19:02:42.0520255] [Debug  :ainavt.lc.lethalconfig] Registered config "Matty's Fixes/LethalLib|ChillaxScraps/Super Sneakers"
[19:02:42.0520255] [Debug  :ainavt.lc.lethalconfig] Registered config "Matty's Fixes/LethalLib|ChillaxScraps/Master Sword"
[19:02:42.0520255] [Debug  :ainavt.lc.lethalconfig] Registered config "Matty's Fixes/LethalLib|ChillaxScraps/Ocarina"
[19:02:42.0530252] [Debug  :ainavt.lc.lethalconfig] Registered config "Matty's Fixes/LethalLib|ChillaxScraps/Totem of Undying"
[19:02:42.0530252] [Debug  :ainavt.lc.lethalconfig] Registered config "Matty's Fixes/LethalLib|ChillaxScraps/Dance Note"
[19:02:42.0530252] [Debug  :ainavt.lc.lethalconfig] Registered config "Matty's Fixes/LethalLib|ChillaxScraps/Nokia"
[19:02:42.0530252] [Debug  :ainavt.lc.lethalconfig] Registered config "Matty's Fixes/LethalLib|ChillaxScraps/Freddy Fazbear"
[19:02:42.0530252] [Debug  :ainavt.lc.lethalconfig] Registered config "Matty's Fixes/LethalLib|ChillaxScraps/Uno Reverse Card DX"
[19:02:42.0530252] [Debug  :ainavt.lc.lethalconfig] Registered config "Matty's Fixes/LethalLib|com.github.biodiversitylc.Biodiversity/Coil-shell"
[19:02:42.0530252] [Debug  :ainavt.lc.lethalconfig] Registered config "Matty's Fixes/LethalLib|com.github.biodiversitylc.Biodiversity/Nethersomes duck"
[19:02:42.0530252] [Debug  :ainavt.lc.lethalconfig] Registered config "Matty's Fixes/LethalLib|com.github.biodiversitylc.Biodiversity/Autumnis Iron Dog"
[19:02:42.0540264] [Debug  :ainavt.lc.lethalconfig] Registered config "Matty's Fixes/LethalLib|com.github.biodiversitylc.Biodiversity/Ccodes dog"
[19:02:42.0540264] [Debug  :ainavt.lc.lethalconfig] Registered config "Matty's Fixes/LethalLib|com.github.biodiversitylc.Biodiversity/Jacu dog"
[19:02:42.0540264] [Debug  :ainavt.lc.lethalconfig] Registered config "Matty's Fixes/LethalLib|MoreShipUpgrades/Medic Bag"
[19:02:42.0540264] [Debug  :ainavt.lc.lethalconfig] Registered config "Matty's Fixes/LethalLib|MoreShipUpgrades/Night Vision Goggles"
