guid,instance_count,observed_name_overrides,resolution_status,checkpoint,asset_kind,asset_path,asset_git_blob,topology_proven
"c50865ef7516ada4b91799125aa3e204","31","CartSupport (27) | CartSupport (2) | CartSupport (9) | CartSupport (16) | CartSupport (26) | CartSupport (21) | CartSupport (3) | CartSupport (6) | CartSupport (15) | CartSupport (8) | CartSupport (7) | CartSupport (23) | CartSupport (1) | CartSupport (11) | CartSupport (25) | CartSupport (28) | CartSupport (24) | CartSupport (22) | CartSupport (29) | CartSupport (14) | CartSupport (13) | CartSupport (20) | CartSupport (19) | CartSupport (5) | CartSupport (4) | CartSupport (10) | CartSupport (12) | CartSupport (18) | CartSupport (17) | CartSupport | CartSupport (30)","SOURCE_PATH_UNRESOLVED","","","","","false"
"c5e7a5b59d00f7b458413bb37d6ed0b7","6","Crow | Crow (1)","SOURCE_PATH_UNRESOLVED","","","","","false"
"cadd9c84a18607540bcdb9af4f65ccf0","8","OxydePipe (5) | OxydePipe (1) | OxydePipe (2) | OxydePipe (3) | OxydePipe (6) | OxydeCompactorPipe (7) | OxydePipe | OxydePipe (4)","SOURCE_PATH_UNRESOLVED","","","","","false"
"cf335cb3799dbc64d8cedacf5b6acf64","1","MistressNote","SOURCE_PATH_UNRESOLVED","","","","","false"
"d03499a980e62aa4eb8f04857139c1fd","6","OxydeRock.006 (16) | OxydeRock.006 (17) | OxydeRock.006 | OxydeRock.006 (15) | OxydeRock.006 (1) | OxydeRock.006 (14)","SOURCE_PATH_UNRESOLVED","","","","","false"
"d0b0d663356a6bc4d8123e75472774ed","1","JimothyCabinTiled","SOURCE_PATH_RESOLVED","C3E2A","UNITY_PREFAB_YAML","CodeRebirthUnityProject/Assets/LethalCompany/Mods/plugins/CodeRebirth/Moons/Oxyde/Prefabs/Structures/JimothyCabin/JimothyCabinTiled.prefab","7be6426fd138c25b7daf46bd33237df692e1064c","false"
"d4cd5709ead01c84b9b953539265bf3e","3","CoffeePot (2) | CoffeePot (1) | CoffeePot","SOURCE_PATH_UNRESOLVED","","","","","false"
"d52bb8119a9bb9e41a51795c5d95d553","4","DecoContainerRedOpen2Sides (1) | DecoContainerRedOpen2Sides (2) | DecoContainerRedOpen2Sides","SOURCE_PATH_UNRESOLVED","","","","","false"
"d638b9b79ee6bf94eadf1fcdb1d09cbb","10","SinglePallet (1) | SinglePallet","SOURCE_PATH_UNRESOLVED","","","","","false"
"d7ac55900e64d3f408517419ce49f7a2","1","JanitorPhoto","SOURCE_PATH_UNRESOLVED","","","","","false"
"d80fcfb0e89ef0a4ea6ce83c79e06803","1","DoomsdayClock","SOURCE_PATH_RESOLVED","C3E2C","UNITY_PREFAB_YAML","CodeRebirthUnityProject/Assets/LethalCompany/Mods/plugins/CodeRebirth/Moons/Oxyde/Prefabs/Structures/JimothyCabin/Decoration/DoomsdayClock.prefab","c706b1c555911f728682c7fd6438c0d44b60554e","false"
"da37130c82510bb4190d2e4124b8d753","1","Lantern","SOURCE_PATH_UNRESOLVED","","","","","false"
