[16:34:59.0725115] [Warning: Unity Log] BoxCollider does not support negative scale or size.
The effective box size has been forced positive and is likely to give unexpected collision geometry.
If you absolutely need to use negative scaling you can use the convex MeshCollider. Scene hierarchy path "EnginePart(Clone)/ScanNode"
[16:34:59.0725115] [Warning: Unity Log] BoxCollider does not support negative scale or size.
The effective box size has been forced positive and is likely to give unexpected collision geometry.
If you absolutely need to use negative scaling you can use the convex MeshCollider. Scene hierarchy path "EnginePart(Clone)"
[16:34:59.0795256] [Info   : Unity Log] Interact trigger destroying! name: Trigger
[16:34:59.0795256] [Info   : Unity Log] Interact trigger destroying! name: HoardingBugEggs(Clone)
[16:34:59.0805295] [Info   : Unity Log] Interact trigger destroying! name: DataPC(Clone)
[16:34:59.0815288] [Info   : Unity Log] Interact trigger destroying! name: Pentagram(Clone)
[16:34:59.0815288] [Info   : Unity Log] Interact trigger destroying! name: SerialDisplay
[16:34:59.0815288] [Info   : Unity Log] Interact trigger destroying! name: RedTrigger
[16:34:59.0815288] [Info   : Unity Log] Interact trigger destroying! name: RedTrigger
[16:34:59.0815288] [Info   : Unity Log] Interact trigger destroying! name: RedTrigger
[16:34:59.0815288] [Info   : Unity Log] Interact trigger destroying! name: RedTrigger
[16:34:59.0815288] [Info   : Unity Log] Interact trigger destroying! name: GreenTrigger
[16:34:59.0815288] [Info   : Unity Log] Interact trigger destroying! name: GreenTrigger
[16:34:59.0815288] [Info   : Unity Log] Interact trigger destroying! name: GreenTrigger
[16:34:59.0815288] [Info   : Unity Log] Interact trigger destroying! name: GreenTrigger
[16:34:59.0815288] [Info   : Unity Log] Interact trigger destroying! name: BlueTrigger
[16:34:59.0815288] [Info   : Unity Log] Interact trigger destroying! name: BlueTrigger
[16:34:59.0815288] [Info   : Unity Log] Interact trigger destroying! name: BlueTrigger
[16:34:59.0815288] [Info   : Unity Log] Interact trigger destroying! name: BlueTrigger
[16:34:59.1286059] [Debug  : LethalMin] IsClientRpcPrefixValid (No): RpcExecStage is Send, IsClient: True, IsHost: True FinishGeneratingNewLevelClientRpcPrefix
[16:34:59.1296059] [Debug  : LethalMin] IsClientRpcPrefixValid (Yes): RpcExecStage is Execute, IsClient: True, IsHost: True FinishGeneratingNewLevelClientRpcPrefix
[16:34:59.1306064] [Info   :BrutalCompanyMinusExtraReborn] Active State: True
[16:34:59.1567705] [Debug  :PathfindingLib] EntranceTeleportA (EntranceTeleport) (277) connects to EntranceTeleportA (EntranceTeleport) (358)
[16:34:59.1599206] [Debug  :PathfindingLib] EntranceTeleportB (EntranceTeleport) (278) connects to EntranceTeleportB(Clone) (EntranceTeleport) (346)
[16:34:59.1599206] [Debug  :PathfindingLib] EntranceTeleportB(Clone) (EntranceTeleport) (346) connects to EntranceTeleportB (EntranceTeleport) (278)
[16:34:59.1599206] [Debug  :PathfindingLib] EntranceTeleportA (EntranceTeleport) (358) connects to EntranceTeleportA (EntranceTeleport) (277)
[16:34:59.1609227] [Debug  : LethalMin] Found 4 entrances:
 - EntranceTeleportA <=> EntranceTeleportA
 - EntranceTeleportB <=> EntranceTeleportB(Clone)
[16:34:59.1619197] [Info   :CullFactory] Generation has completed with seed 90571909.
[16:34:59.2355643] [Info   :CullFactory] Preparing tile information for TowerFlow took 46.448ms
[16:34:59.2430869] [Warning:LethalPerformance] GrabbableObject search called with inactive objects, probably will cause incompatibility!
[16:34:59.2872153] [Debug  :ButteRyBalance] Barber - Dynamic Spawn Settings: 2/8 (Interior ID: 16)
[16:34:59.3274493] [Error  :S1.42AI-DIAG1 ShyGuy Isolation] [DIAG1_IDENTITY_PENDING] PredictAllOutsideEnemies/Prefix: exact identity triple asset='ShyGuyDef', enemyName='Shy Guy', aiType='ShyGuy.AI.ShyGuyAI' was not resolved. Pools remain fail-closed to zero verified identities.
[16:34:59.3294535] [Info   :S1.42AI-DIAG1 ShyGuy Isolation] [DIAG1_POOL_GUARD] PredictAllOutsideEnemies/Prefix: allowed=<none-resolved>; removed indoor=40, outside=18, daytime=8, weed=1.
