[17:07:55.8160755] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/`Cheats`/Use Beta Item Weight Calculation"
[17:07:55.8170748] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/`Cheats`/Whistle Makes Noise At Noice Zone"
[17:07:55.8180768] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/`Cheats`/Dont Make Audible Noises"
[17:07:55.8190752] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/`Cheats`/Pikmin Signal Cooldown"
[17:07:55.8210751] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/`Cheats`/No Knock Back"
[17:07:55.8210751] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/`Cheats`/Invinceable Pikmin"
[17:07:55.8235837] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/`Cheats`/Useless Blues Mode"
[17:07:55.8245835] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/`Cheats`/Max Whistle Zone Radius"
[17:07:55.8255843] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/`Cheats`/Max Whistle Zone Distance"
[17:07:55.8275837] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/`Cheats`/Player Notice Zone Size"
[17:07:55.8285840] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/`Cheats`/Pikmin Damage Multiplier"
[17:07:55.8295842] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/`Cheats`/Pikmin Speed Multiplier"
[17:07:55.8315834] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/`Cheats`/Charge Distance"
[17:07:55.8325839] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/`Cheats`/Charge Cooldown"
[17:07:55.8338169] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/`Cheats`/Dont Remove Save After Fire"
[17:07:55.8348160] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Funi/Yeet After Latch On"
[17:07:55.8368164] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Funi/Randomize Generation Models"
[17:07:55.8378169] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Funi/Add Collision To Ghost Sprites"
[17:07:55.8388178] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Funi/Funi Onion"
[17:07:55.8408153] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Funi/Giant Whistle With Pikmin Signal"
[17:07:55.8418160] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Funi/Ragdoll On Knockback"
[17:07:55.8433200] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Funi/Ragdoll On Death"
[17:07:55.8433200] [Info   : LethalMin] LethalMin: Patching Config Patches
[17:07:55.8433200] [Debug  : LethalMin] Patching config-conditional patches...
[17:07:55.8433200] [Debug  : LethalMin] Skipping config patch LethalMin.ConfigPatches.DontTouchMeUpdateTranspiler: Kittenji.DontTouchMe not loaded
[17:07:55.8443243] [Debug  : LethalMin] Patched config patch: LethalMin.ConfigPatches.DontTouchMeUpdateTranspiler+<UpdateTranspiler>d__0
[17:07:55.8458769] [Info   : LethalMin] ShotgunItemPatch: Increased enemyColliders array size from 10 to 127
[17:07:55.8508814] [Debug  : LethalMin] Patched config patch: LethalMin.ConfigPatches.ShotgunItemPatch
[17:07:55.8508814] [Debug  : LethalMin] Finished patching config-conditional patches!
[17:07:55.8508814] [Info   : LethalMin] LethalMin: Loading AssetBundle
[17:07:58.6471316] [Info   : LethalMin] LethalMin: Loading Miscellaneous Assets
[17:07:58.7532710] [Info   : LethalMin] LethalMin: Registering Pikmin As Enemies
[17:07:58.7562796] [Debug  :PathfindingLib] Changed prefabbed NavMeshAgent Pikmin's area mask from 0xFFFFFFFF to 0xFFFFFFFF to allow traversal of non-smart off-mesh links.
[17:07:58.7677872] [Debug  :PathfindingLib] Changed prefabbed NavMeshAgent Puffmin's area mask from 0xFFFFFFFF to 0xFFFFFFFF to allow traversal of non-smart off-mesh links.
[17:07:58.7677872] [Info   : LethalMin] LethalMin: Registering Items
[17:07:58.7887773] [Info   : LethalMin] LethalMin: Registering Pikmin Types
[17:07:58.8253242] [Info   : LethalMin] Registering 10 Pikmin Types
[17:07:58.8263281] [Message: LethalMin] Registering Pikmin Type: Blue Pikmin
[17:07:58.8273283] [Info   : LethalMin] Generating config file for Pikmin Type: Blue Pikmin
[17:07:58.8388432] [Debug  : LethalMin] PikminPrimaryColor set to RGBA(0.000, 0.000, 1.000, 1.000)
[17:07:58.8388432] [Debug  : LethalMin] PikminSecondaryColor set to RGBA(0.000, 0.000, 0.502, 1.000)
[17:07:58.8388432] [Debug  : LethalMin] Skipping unsupported field type: PikminIcon (UnityEngine.Sprite)
[17:07:58.8388432] [Debug  : LethalMin] Skipping unsupported field type: AnimatedPikminGhostTexture (UnityEngine.Texture2D[])
[17:07:58.8388432] [Debug  : LethalMin] AnimatedPikminGhostFrameHold set to 2
[17:07:58.8418458] [Debug  : LethalMin] OverrideGhostTextureTileing set to (1.00, 1.00)
[17:07:58.8418458] [Debug  : LethalMin] OverrideGhostTextureOffset set to (0.00, 0.00)
[17:07:58.8428449] [Debug  : LethalMin] SetGhostColor set to True
[17:07:58.8428449] [Debug  : LethalMin] DisableRegistration set to False
[17:07:58.8428449] [Debug  : LethalMin] SetColorOnSprout set to True
[17:07:58.8433483] [Debug  : LethalMin] UseOverrideSproutGlowColor set to False
[17:07:58.8433483] [Debug  : LethalMin] OverrideSproutGlowColor set to RGBA(1.000, 1.000, 1.000, 1.000)
[17:07:58.8443529] [Debug  : LethalMin] growSpeeds set to System.Collections.Generic.List`1[System.Single]
[17:07:58.8443529] [Debug  : LethalMin] growAttacks set to System.Collections.Generic.List`1[System.Single]
[17:07:58.8443529] [Debug  : LethalMin] growCarryStrengths set to System.Collections.Generic.List`1[System.Int32]
[17:07:58.8453576] [Debug  : LethalMin] GrowSpeedMultiplier set to 1
[17:07:58.8453576] [Debug  : LethalMin] DefaultSpeed set to 1
[17:07:58.8453576] [Debug  : LethalMin] RunningSpeedMultiplier set to 1.5
[17:07:58.8453576] [Debug  : LethalMin] CarryStrength set to 3
[17:07:58.8463578] [Debug  : LethalMin] ThrowForce set to (15.00, 15.00, 15.00)
[17:07:58.8463578] [Debug  : LethalMin] HazardsResistantTo set to System.Collections.Generic.List`1[PikminHazard]
[17:07:58.8473575] [Debug  : LethalMin] ItemDetectionRange set to 5
[17:07:58.8473575] [Debug  : LethalMin] CanLatchOnToObjects set to True
[17:07:58.8473575] [Debug  : LethalMin] CanJumpOntoObjects set to True
[17:07:58.8473575] [Debug  : LethalMin] CanCarryObjects set to True
[17:07:58.8473575] [Debug  : LethalMin] AttackStrength set to 1
[17:07:58.8473575] [Debug  : LethalMin] AttackRate set to 0.5
[17:07:58.8473575] [Debug  : LethalMin] AttackDistance set to 0.5
[17:07:58.8473575] [Debug  : LethalMin] JumpLatchOnRange set to 5
[17:07:58.8483577] [Debug  : LethalMin] DamageDeltUponDeath set to 0
[17:07:58.8483577] [Debug  : LethalMin] DeathDamageRange set to 0
[17:07:58.8483577] [Debug  : LethalMin] DamageDeltUpLanding set to 0
[17:07:58.8483577] [Debug  : LethalMin] ShakeEndurance set to 0.75
[17:07:58.8483577] [Debug  : LethalMin] SpawnsIndoors set to False
