[20:38:37.3028626] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/CodeRebirth/Fan Knockback Strength Threshold"
[20:38:37.3048676] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/CodeRebirth/Microwave Knockbacks Pikmin"
[20:38:37.3068689] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/CodeRebirth/Flash Turret Knockbacks Pikmin"
[20:38:37.3078694] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/CodeRebirth/Laser Turret Kills Pikmin"
[20:38:37.3103780] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/CodeRebirth/Tornado Pulls Pikmin"
[20:38:37.3134062] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/CodeRebirth/Tornado Pull Strength Threshold"
[20:38:37.3154072] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/CodeRebirth/Compactor Squishes Pikmin"
[20:38:37.3184069] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/CodeRebirth/Go to the shredder before compactor"
[20:38:37.3207286] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/LCVR/Auto Set Hud Preset"
[20:38:37.3222334] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/LCVR/Dont Use Input Utils For VR"
[20:38:37.3237508] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/LCVR/Disable Sprout Interaction"
[20:38:37.3257502] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/LCVR/Disable Whistle Fix"
[20:38:37.3267503] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/LCVR/Onion HUD Z Distance"
[20:38:37.3287509] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/LCVR/Throw Button"
[20:38:37.3307501] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/LCVR/Secondary Throw Button"
[20:38:37.3317499] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/LCVR/Switch Forward Button"
[20:38:37.3339333] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/LCVR/Switch Backwards Button"
[20:38:37.3354369] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/LCVR/Whistle Button"
[20:38:37.3374417] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/LCVR/Use Mouth to Dismiss"
[20:38:37.3394413] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/LCVR/Dismiss Button"
[20:38:37.3404426] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/LCVR/Switch Whistle Sound Button"
[20:38:37.3424418] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/LCVR/Charge Button"
[20:38:37.3439489] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/LCVR/Secondary Charge Button"
[20:38:37.3459527] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/LCVR/Disable Charge Motion Blur"
[20:38:37.3469530] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/LCVR/Glowmob Button (hold)"
[20:38:37.3489524] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/LCVR/Glowmob Delay"
[20:38:37.3510634] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/LCVR/Throw Cancel Button"
[20:38:37.3525741] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Imperium/Dont Do Audible Noise Calculations For Pikmin"
[20:38:37.3535791] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Imperium/Dont Resimulate Oracle On Pikmin Death"
[20:38:37.3555839] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Imperium/Remove Puffmin From Spawn Search"
[20:38:37.3565827] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/WiderShipMod/Make Custom Bounds For Wide Ship"
[20:38:37.3585826] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Mimics/Base Pick Chance"
[20:38:37.3595853] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Mimics/Pick Chance Minimum"
[20:38:37.3615838] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Mimics/Pick Chance Curve Base"
[20:38:37.3636296] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Mimics/Alert Blacklist Range"
[20:38:37.3646293] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/DontTouchMe/Enable Interaction"
