[08:38:13.5929564] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Imperium/Dont Do Audible Noise Calculations For Pikmin"
[08:38:13.5944743] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Imperium/Dont Resimulate Oracle On Pikmin Death"
[08:38:13.5954770] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Imperium/Remove Puffmin From Spawn Search"
[08:38:13.5964775] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/WiderShipMod/Make Custom Bounds For Wide Ship"
[08:38:13.5974773] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Mimics/Base Pick Chance"
[08:38:13.5994788] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Mimics/Pick Chance Minimum"
[08:38:13.6004788] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Mimics/Pick Chance Curve Base"
[08:38:13.6014779] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Mimics/Alert Blacklist Range"
[08:38:13.6029820] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/DontTouchMe/Enable Interaction"
[08:38:13.6049871] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/DontTouchMe/Kill Everything"
[08:38:13.6059906] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/DontTouchMe/Attack Chance"
[08:38:13.6069907] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/DontTouchMe/Pikmin Friendly Despawn"
[08:38:13.6089904] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/DontTouchMe/Carry Weight"
[08:38:13.6099904] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Advanced/Navmesh Check Blacklist"
[08:38:13.6109903] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Advanced/Check Navmesh"
[08:38:13.6129901] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Advanced/Generate Pikmin Configs"
[08:38:13.6134943] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Advanced/Use ModDataLib"
[08:38:13.6175026] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Advanced/Clean Moon Names"
[08:38:13.6195023] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Advanced/Generate Moon Spawn Configs"
[08:38:13.6205021] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Advanced/Generate Weather Spawn Configs"
[08:38:13.6215018] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/`Cheats`/Use Beta Item Weight Calculation"
[08:38:13.6230054] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/`Cheats`/Whistle Makes Noise At Noice Zone"
[08:38:13.6240088] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/`Cheats`/Dont Make Audible Noises"
[08:38:13.6255129] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/`Cheats`/Pikmin Signal Cooldown"
[08:38:13.6275185] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/`Cheats`/No Knock Back"
[08:38:13.6285185] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/`Cheats`/Invinceable Pikmin"
[08:38:13.6295183] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/`Cheats`/Useless Blues Mode"
[08:38:13.6315189] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/`Cheats`/Max Whistle Zone Radius"
[08:38:13.6330229] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/`Cheats`/Max Whistle Zone Distance"
[08:38:13.6340276] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/`Cheats`/Player Notice Zone Size"
[08:38:13.6350276] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/`Cheats`/Pikmin Damage Multiplier"
[08:38:13.6370309] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/`Cheats`/Pikmin Speed Multiplier"
[08:38:13.6380313] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/`Cheats`/Charge Distance"
[08:38:13.6390315] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/`Cheats`/Charge Cooldown"
[08:38:13.6410317] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/`Cheats`/Dont Remove Save After Fire"
[08:38:13.6420323] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Funi/Yeet After Latch On"
[08:38:13.6435341] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Funi/Randomize Generation Models"
[08:38:13.6445380] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Funi/Add Collision To Ghost Sprites"
[08:38:13.6455412] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Funi/Funi Onion"
[08:38:13.6475417] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Funi/Giant Whistle With Pikmin Signal"
[08:38:13.6485411] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Funi/Ragdoll On Knockback"
[08:38:13.6495419] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Funi/Ragdoll On Death"
[08:38:13.6495419] [Info   : LethalMin] LethalMin: Patching Config Patches
[08:38:13.6515418] [Debug  : LethalMin] Patching config-conditional patches...
[08:38:13.6515418] [Debug  : LethalMin] Skipping config patch LethalMin.ConfigPatches.DontTouchMeUpdateTranspiler: Kittenji.DontTouchMe not loaded
[08:38:13.6515418] [Debug  : LethalMin] Patched config patch: LethalMin.ConfigPatches.DontTouchMeUpdateTranspiler+<UpdateTranspiler>d__0
[08:38:13.6540508] [Info   : LethalMin] ShotgunItemPatch: Increased enemyColliders array size from 10 to 127
[08:38:13.6570512] [Debug  : LethalMin] Patched config patch: LethalMin.ConfigPatches.ShotgunItemPatch
[08:38:13.6570512] [Debug  : LethalMin] Finished patching config-conditional patches!
[08:38:13.6570512] [Info   : LethalMin] LethalMin: Loading AssetBundle
[08:38:16.4892104] [Info   : LethalMin] LethalMin: Loading Miscellaneous Assets
[08:38:16.6009848] [Info   : LethalMin] LethalMin: Registering Pikmin As Enemies
[08:38:16.6040075] [Debug  :PathfindingLib] Changed prefabbed NavMeshAgent Pikmin's area mask from 0xFFFFFFFF to 0xFFFFFFFF to allow traversal of non-smart off-mesh links.
[08:38:16.6141894] [Debug  :PathfindingLib] Changed prefabbed NavMeshAgent Puffmin's area mask from 0xFFFFFFFF to 0xFFFFFFFF to allow traversal of non-smart off-mesh links.
[08:38:16.6141894] [Info   : LethalMin] LethalMin: Registering Items
[08:38:16.6354416] [Info   : LethalMin] LethalMin: Registering Pikmin Types
[08:38:16.6734895] [Info   : LethalMin] Registering 10 Pikmin Types
[08:38:16.6744940] [Message: LethalMin] Registering Pikmin Type: Blue Pikmin
[08:38:16.6754982] [Info   : LethalMin] Generating config file for Pikmin Type: Blue Pikmin
[08:38:16.6814988] [Debug  : LethalMin] PikminPrimaryColor set to RGBA(0.000, 0.000, 1.000, 1.000)
[08:38:16.6814988] [Debug  : LethalMin] PikminSecondaryColor set to RGBA(0.000, 0.000, 0.502, 1.000)
[08:38:16.6814988] [Debug  : LethalMin] Skipping unsupported field type: PikminIcon (UnityEngine.Sprite)
[08:38:16.6814988] [Debug  : LethalMin] Skipping unsupported field type: AnimatedPikminGhostTexture (UnityEngine.Texture2D[])
[08:38:16.6814988] [Debug  : LethalMin] AnimatedPikminGhostFrameHold set to 2
[08:38:16.6850099] [Debug  : LethalMin] OverrideGhostTextureTileing set to (1.00, 1.00)
[08:38:16.6850099] [Debug  : LethalMin] OverrideGhostTextureOffset set to (0.00, 0.00)
