[17:21:05.3731596] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/LCVR/Whistle Button"
[17:21:05.3751600] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/LCVR/Use Mouth to Dismiss"
[17:21:05.3751600] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/LCVR/Dismiss Button"
[17:21:05.3776707] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/LCVR/Switch Whistle Sound Button"
[17:21:05.3786711] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/LCVR/Charge Button"
[17:21:05.3796712] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/LCVR/Secondary Charge Button"
[17:21:05.3808400] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/LCVR/Disable Charge Motion Blur"
[17:21:05.3828417] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/LCVR/Glowmob Button (hold)"
[17:21:05.3838401] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/LCVR/Glowmob Delay"
[17:21:05.3848399] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/LCVR/Throw Cancel Button"
[17:21:05.3868401] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Imperium/Dont Do Audible Noise Calculations For Pikmin"
[17:21:05.3879859] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Imperium/Dont Resimulate Oracle On Pikmin Death"
[17:21:05.3889865] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Imperium/Remove Puffmin From Spawn Search"
[17:21:05.3899855] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/WiderShipMod/Make Custom Bounds For Wide Ship"
[17:21:05.3919860] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Mimics/Base Pick Chance"
[17:21:05.3929872] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Mimics/Pick Chance Minimum"
[17:21:05.3939870] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Mimics/Pick Chance Curve Base"
[17:21:05.3959860] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Mimics/Alert Blacklist Range"
[17:21:05.3969857] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/DontTouchMe/Enable Interaction"
[17:21:05.3988981] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/DontTouchMe/Kill Everything"
[17:21:05.3999034] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/DontTouchMe/Attack Chance"
[17:21:05.4009030] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/DontTouchMe/Pikmin Friendly Despawn"
[17:21:05.4019044] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/DontTouchMe/Carry Weight"
[17:21:05.4039042] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Advanced/Navmesh Check Blacklist"
[17:21:05.4049034] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Advanced/Check Navmesh"
[17:21:05.4059049] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Advanced/Generate Pikmin Configs"
[17:21:05.4079580] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Advanced/Use ModDataLib"
[17:21:05.4089582] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Advanced/Clean Moon Names"
[17:21:05.4099585] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Advanced/Generate Moon Spawn Configs"
[17:21:05.4109582] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Advanced/Generate Weather Spawn Configs"
[17:21:05.4129584] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/`Cheats`/Use Beta Item Weight Calculation"
[17:21:05.4149586] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/`Cheats`/Whistle Makes Noise At Noice Zone"
[17:21:05.4159593] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/`Cheats`/Dont Make Audible Noises"
[17:21:05.4169570] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/`Cheats`/Pikmin Signal Cooldown"
[17:21:05.4181862] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/`Cheats`/No Knock Back"
[17:21:05.4201847] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/`Cheats`/Invinceable Pikmin"
[17:21:05.4211883] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/`Cheats`/Useless Blues Mode"
[17:21:05.4221867] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/`Cheats`/Max Whistle Zone Radius"
[17:21:05.4231863] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/`Cheats`/Max Whistle Zone Distance"
[17:21:05.4241873] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/`Cheats`/Player Notice Zone Size"
[17:21:05.4256930] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/`Cheats`/Pikmin Damage Multiplier"
[17:21:05.4277156] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/`Cheats`/Pikmin Speed Multiplier"
[17:21:05.4287183] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/`Cheats`/Charge Distance"
[17:21:05.4297175] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/`Cheats`/Charge Cooldown"
[17:21:05.4319735] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/`Cheats`/Dont Remove Save After Fire"
[17:21:05.4329743] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Funi/Yeet After Latch On"
[17:21:05.4339744] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Funi/Randomize Generation Models"
[17:21:05.4359739] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Funi/Add Collision To Ghost Sprites"
[17:21:05.4369743] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Funi/Funi Onion"
[17:21:05.4381840] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Funi/Giant Whistle With Pikmin Signal"
[17:21:05.4391838] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Funi/Ragdoll On Knockback"
[17:21:05.4401840] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Funi/Ragdoll On Death"
[17:21:05.4401840] [Info   : LethalMin] LethalMin: Patching Config Patches
[17:21:05.4411838] [Debug  : LethalMin] Patching config-conditional patches...
[17:21:05.4411838] [Debug  : LethalMin] Skipping config patch LethalMin.ConfigPatches.DontTouchMeUpdateTranspiler: Kittenji.DontTouchMe not loaded
[17:21:05.4411838] [Debug  : LethalMin] Patched config patch: LethalMin.ConfigPatches.DontTouchMeUpdateTranspiler+<UpdateTranspiler>d__0
[17:21:05.4441849] [Info   : LethalMin] ShotgunItemPatch: Increased enemyColliders array size from 10 to 127
[17:21:05.4476981] [Debug  : LethalMin] Patched config patch: LethalMin.ConfigPatches.ShotgunItemPatch
[17:21:05.4476981] [Debug  : LethalMin] Finished patching config-conditional patches!
[17:21:05.4476981] [Info   : LethalMin] LethalMin: Loading AssetBundle
[17:21:08.2481589] [Info   : LethalMin] LethalMin: Loading Miscellaneous Assets
[17:21:08.3519651] [Info   : LethalMin] LethalMin: Registering Pikmin As Enemies
[17:21:08.3559923] [Debug  :PathfindingLib] Changed prefabbed NavMeshAgent Pikmin's area mask from 0xFFFFFFFF to 0xFFFFFFFF to allow traversal of non-smart off-mesh links.
[17:21:08.3650311] [Debug  :PathfindingLib] Changed prefabbed NavMeshAgent Puffmin's area mask from 0xFFFFFFFF to 0xFFFFFFFF to allow traversal of non-smart off-mesh links.
[17:21:08.3650311] [Info   : LethalMin] LethalMin: Registering Items
[17:21:08.3857016] [Info   : LethalMin] LethalMin: Registering Pikmin Types
[17:21:08.4207210] [Info   : LethalMin] Registering 10 Pikmin Types
[17:21:08.4217177] [Message: LethalMin] Registering Pikmin Type: Blue Pikmin
[17:21:08.4227183] [Info   : LethalMin] Generating config file for Pikmin Type: Blue Pikmin
[17:21:08.4342401] [Debug  : LethalMin] PikminPrimaryColor set to RGBA(0.000, 0.000, 1.000, 1.000)
[17:21:08.4342401] [Debug  : LethalMin] PikminSecondaryColor set to RGBA(0.000, 0.000, 0.502, 1.000)
[17:21:08.4342401] [Debug  : LethalMin] Skipping unsupported field type: PikminIcon (UnityEngine.Sprite)
[17:21:08.4342401] [Debug  : LethalMin] Skipping unsupported field type: AnimatedPikminGhostTexture (UnityEngine.Texture2D[])
[17:21:08.4342401] [Debug  : LethalMin] AnimatedPikminGhostFrameHold set to 2
[17:21:08.4367464] [Debug  : LethalMin] OverrideGhostTextureTileing set to (1.00, 1.00)
[17:21:08.4367464] [Debug  : LethalMin] OverrideGhostTextureOffset set to (0.00, 0.00)
[17:21:08.4377503] [Debug  : LethalMin] SetGhostColor set to True
[17:21:08.4377503] [Debug  : LethalMin] DisableRegistration set to False
[17:21:08.4377503] [Debug  : LethalMin] SetColorOnSprout set to True
[17:21:08.4377503] [Debug  : LethalMin] UseOverrideSproutGlowColor set to False
[17:21:08.4377503] [Debug  : LethalMin] OverrideSproutGlowColor set to RGBA(1.000, 1.000, 1.000, 1.000)
[17:21:08.4387522] [Debug  : LethalMin] growSpeeds set to System.Collections.Generic.List`1[System.Single]
[17:21:08.4387522] [Debug  : LethalMin] growAttacks set to System.Collections.Generic.List`1[System.Single]
[17:21:08.4397594] [Debug  : LethalMin] growCarryStrengths set to System.Collections.Generic.List`1[System.Int32]
[17:21:08.4397594] [Debug  : LethalMin] GrowSpeedMultiplier set to 1
[17:21:08.4407612] [Debug  : LethalMin] DefaultSpeed set to 1
[17:21:08.4407612] [Debug  : LethalMin] RunningSpeedMultiplier set to 1.5
[17:21:08.4407612] [Debug  : LethalMin] CarryStrength set to 3
[17:21:08.4407612] [Debug  : LethalMin] ThrowForce set to (15.00, 15.00, 15.00)
[17:21:08.4417592] [Debug  : LethalMin] HazardsResistantTo set to System.Collections.Generic.List`1[PikminHazard]
[17:21:08.4417592] [Debug  : LethalMin] ItemDetectionRange set to 5
[17:21:08.4427596] [Debug  : LethalMin] CanLatchOnToObjects set to True
[17:21:08.4427596] [Debug  : LethalMin] CanJumpOntoObjects set to True
[17:21:08.4427596] [Debug  : LethalMin] CanCarryObjects set to True
[17:21:08.4427596] [Debug  : LethalMin] AttackStrength set to 1
[17:21:08.4427596] [Debug  : LethalMin] AttackRate set to 0.5
[17:21:08.4427596] [Debug  : LethalMin] AttackDistance set to 0.5
[17:21:08.4427596] [Debug  : LethalMin] JumpLatchOnRange set to 5
[17:21:08.4427596] [Debug  : LethalMin] DamageDeltUponDeath set to 0
[17:21:08.4427596] [Debug  : LethalMin] DeathDamageRange set to 0
[17:21:08.4427596] [Debug  : LethalMin] DamageDeltUpLanding set to 0
[17:21:08.4437591] [Debug  : LethalMin] ShakeEndurance set to 0.75
[17:21:08.4437591] [Debug  : LethalMin] SpawnsIndoors set to False
[17:21:08.4437591] [Debug  : LethalMin] SpawnsOutdoors set to True
[17:21:08.4437591] [Debug  : LethalMin] SpawnsAsSprout set to True
[17:21:08.4437591] [Debug  : LethalMin] UsesPikminContainer set to False
[17:21:08.4437591] [Debug  : LethalMin] SpawnAfterDay set to -1
[17:21:08.4437591] [Debug  : LethalMin] MoonSpawnMultipliers set to System.Collections.Generic.List`1[System.String]
