[10:31:24.9731570] [Debug  :Matty's Fixes] LethalLib/MoreShipUpgrades/Heart(425) needs to compute vertical offset - scheduled
[10:31:24.9916818] [Debug  :Matty's Fixes] LethalLib/MoreShipUpgrades/Crucifix(426) needs to compute vertical offset - scheduled
[10:31:25.0174026] [Debug  :Matty's Fixes] LethalLib/MoreShipUpgrades/Crucifix(427) needs to compute vertical offset - scheduled
[10:31:25.0374388] [Debug  :Matty's Fixes] LethalLib/MoreShipUpgrades/Crucifix(428) needs to compute vertical offset - scheduled
[10:31:25.0550190] [Debug  :Matty's Fixes] LethalLib/MoreShipUpgrades/Candelabra(429) needs to compute vertical offset - scheduled
[10:31:25.6905890] [Debug  :Matty's Fixes] LethalLib/MoreShipUpgrades/Candelabra(430) needs to compute vertical offset - scheduled
[10:31:25.7116389] [Debug  :Matty's Fixes] LethalLib/MoreShipUpgrades/Candelabra(431) needs to compute vertical offset - scheduled
[10:31:25.7306755] [Debug  :Matty's Fixes] LethalLib/MoreShipUpgrades/Teddy Bear(432) needs to compute vertical offset - scheduled
[10:31:25.7502027] [Debug  :Matty's Fixes] LethalLib/MoreShipUpgrades/Teddy Bear(433) needs to compute vertical offset - scheduled
[10:31:25.7682409] [Debug  :Matty's Fixes] LethalLib/MoreShipUpgrades/Teddy Bear(434) needs to compute vertical offset - scheduled
[10:31:25.7872060] [Debug  :Matty's Fixes] LethalLib/MoreShipUpgrades/Bones(435) needs to compute vertical offset - scheduled
[10:31:25.8058157] [Debug  :Matty's Fixes] LethalLib/MoreShipUpgrades/Bones(436) needs to compute vertical offset - scheduled
[10:31:25.8258528] [Debug  :Matty's Fixes] LethalLib/MoreShipUpgrades/Bones(437) needs to compute vertical offset - scheduled
[10:31:25.8474158] [Debug  :Matty's Fixes] LethalLib/MoreShipUpgrades/Pentagram(438) needs to compute vertical offset - scheduled
[10:31:25.8474158] [Warning: LethalMin] Item Pentagram(Clone) is not valid for Pikmin! Skipping...
[10:31:25.8672638] [Debug  :Matty's Fixes] LethalLib/MoreShipUpgrades/Bomb(439) needs to compute vertical offset - scheduled
[10:31:25.8672638] [Warning: LethalMin] Item Bomb(Clone) is not valid for Pikmin! Skipping...
[10:31:26.3062366] [Info   : Unity Log] BigDoor(Clone) creating doorcode object in parent MapScreenUIWorldSpace (UnityEngine.RectTransform): DoorCodeUIObject(Clone)
[10:31:26.3092411] [Info   : Unity Log] BigDoor(Clone) creating doorcode object in parent MapScreenUIWorldSpace (UnityEngine.RectTransform): DoorCodeUIObject(Clone)
[10:31:26.3092411] [Info   : Unity Log] BigDoor(Clone) creating doorcode object in parent MapScreenUIWorldSpace (UnityEngine.RectTransform): DoorCodeUIObject(Clone)
[10:31:26.3092411] [Info   : Unity Log] BigDoor(Clone) creating doorcode object in parent MapScreenUIWorldSpace (UnityEngine.RectTransform): DoorCodeUIObject(Clone)
[10:31:26.3102411] [Info   : Unity Log] BigDoor(Clone) creating doorcode object in parent MapScreenUIWorldSpace (UnityEngine.RectTransform): DoorCodeUIObject(Clone)
[10:31:26.3112409] [Debug  : LethalMin] Initializing PikminItem SinkPrefab(Clone) with item SinkPrefab(Clone) (True)
[10:31:26.3112409] [Debug  : LethalMin] Initializing PikminItem KeyboardPrefab(Clone) with item KeyboardPrefab(Clone) (True)
[10:31:26.3112409] [Debug  : LethalMin] Initializing PikminItem Remote(Clone) with item Remote(Clone) (True)
[10:31:26.3112409] [Debug  : LethalMin] Initializing PikminItem ClockPrefab(Clone) with item ClockPrefab(Clone) (True)
[10:31:26.3112409] [Debug  : LethalMin] Initializing PikminItem CanteenPrefab(Clone) with item CanteenPrefab(Clone) (True)
[10:31:26.3112409] [Debug  : LethalMin] Initializing PikminItem Frieren(Clone) with item Frieren(Clone) (True)
[10:31:26.3112409] [Debug  : LethalMin] Initializing PikminItem Airhorn(Clone) with item Airhorn(Clone) (True)
[10:31:26.3112409] [Debug  : LethalMin] Initializing PikminItem AnvilPrefab(Clone) with item AnvilPrefab(Clone) (True)
[10:31:26.3122416] [Debug  : LethalMin] Initializing PikminItem GameboyPrefab(Clone) with item GameboyPrefab(Clone) (True)
[10:31:26.3122416] [Debug  : LethalMin] Initializing PikminItem DarkJobApplication(Clone) with item DarkJobApplication(Clone) (True)
[10:31:26.3122416] [Debug  : LethalMin] Initializing PikminItem HammerPrefab(Clone) with item HammerPrefab(Clone) (True)
[10:31:26.3122416] [Debug  : LethalMin] Initializing PikminItem SqueakytoyPrefab(Clone) with item SqueakytoyPrefab(Clone) (True)
[10:31:26.3122416] [Debug  : LethalMin] Initializing PikminItem Flask(Clone) with item Flask(Clone) (True)
[10:31:26.3122416] [Debug  : LethalMin] Initializing PikminItem ClockPrefab(Clone) with item ClockPrefab(Clone) (True)
[10:31:26.3122416] [Debug  : LethalMin] Initializing PikminItem CarbatteryPrefab(Clone) with item CarbatteryPrefab(Clone) (True)
